deck,slot_number,card_name,oracle_id,primary_role,secondary_roles,mana_value,color_identity,card_type,source_reference,argentum_definition_found,argentum_definition_path,definition_kind,scenario_test_found,scenario_test_path,coverage_class,mechanic_families,decision_families,game_changer,banned,combo_member,tutor,board_wipe,engine_notes,replacement_candidate
Akiri,11,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,12,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,13,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,14,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,15,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,16,Mountain,a3fb7228-e76b-4e96-a40e-20b5fed75685,LAND,,0,R,Basic Land — Mountain,Scryfall oracle_id a3fb7228-e76b-4e96-a40e-20b5fed75685; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\arn\cards\Mountain.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,17,Mountain,a3fb7228-e76b-4e96-a40e-20b5fed75685,LAND,,0,R,Basic Land — Mountain,Scryfall oracle_id a3fb7228-e76b-4e96-a40e-20b5fed75685; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\arn\cards\Mountain.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,18,Mountain,a3fb7228-e76b-4e96-a40e-20b5fed75685,LAND,,0,R,Basic Land — Mountain,Scryfall oracle_id a3fb7228-e76b-4e96-a40e-20b5fed75685; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\arn\cards\Mountain.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,19,Mountain,a3fb7228-e76b-4e96-a40e-20b5fed75685,LAND,,0,R,Basic Land — Mountain,Scryfall oracle_id a3fb7228-e76b-4e96-a40e-20b5fed75685; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\arn\cards\Mountain.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,20,Mountain,a3fb7228-e76b-4e96-a40e-20b5fed75685,LAND,,0,R,Basic Land — Mountain,Scryfall oracle_id a3fb7228-e76b-4e96-a40e-20b5fed75685; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\arn\cards\Mountain.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,21,Mountain,a3fb7228-e76b-4e96-a40e-20b5fed75685,LAND,,0,R,Basic Land — Mountain,Scryfall oracle_id a3fb7228-e76b-4e96-a40e-20b5fed75685; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\arn\cards\Mountain.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,22,Mountain,a3fb7228-e76b-4e96-a40e-20b5fed75685,LAND,,0,R,Basic Land — Mountain,Scryfall oracle_id a3fb7228-e76b-4e96-a40e-20b5fed75685; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\arn\cards\Mountain.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,23,Mountain,a3fb7228-e76b-4e96-a40e-20b5fed75685,LAND,,0,R,Basic Land — Mountain,Scryfall oracle_id a3fb7228-e76b-4e96-a40e-20b5fed75685; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\arn\cards\Mountain.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,24,Command Tower,0895c9b7-ae7d-4bb3-af17-3b75deb50a25,LAND,,0,,Land,Scryfall oracle_id 0895c9b7-ae7d-4bb3-af17-3b75deb50a25; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\2008-2016\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\cmd\cards\CommandTower.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,25,Clifftop Retreat,d7faa3c8-46cf-46b2-bfa4-89000307cf18,LAND,,0,RW,Land,Scryfall oracle_id d7faa3c8-46cf-46b2-bfa4-89000307cf18; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\2017-2022\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\dom\cards\ClifftopRetreat.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,26,Battlefield Forge,6b75b94e-83b7-457e-ac41-7ca90b5a59aa,LAND,,0,RW,Land,Scryfall oracle_id 6b75b94e-83b7-457e-ac41-7ca90b5a59aa; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\2000-2002\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\apc\cards\BattlefieldForge.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,27,Inspiring Vantage,3f17c60e-923a-4392-9da8-87d9ded009b7,LAND,,0,RW,Land,Scryfall oracle_id 3f17c60e-923a-4392-9da8-87d9ded009b7; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\2008-2016\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\kld\cards\InspiringVantage.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,28,Sacred Foundry,45181cb8-2090-4471-ba90-e5a8f04d525f,LAND,,0,RW,Land — Mountain Plains,Scryfall oracle_id 45181cb8-2090-4471-ba90-e5a8f04d525f; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\2003-2007\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\rav\cards\SacredFoundry.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,29,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found. Friendly replacement of Ideal slot card: Spectator Seating.,Spectator Seating
Akiri,30,Mountain,a3fb7228-e76b-4e96-a40e-20b5fed75685,LAND,,0,R,Basic Land — Mountain,Scryfall oracle_id a3fb7228-e76b-4e96-a40e-20b5fed75685; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\arn\cards\Mountain.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found. Friendly replacement of Ideal slot card: Rugged Prairie.,Rugged Prairie
Akiri,31,Temple of Triumph,6f0d94d9-64bb-4175-83bc-301e8f79f54f,LAND,,0,RW,Land,Scryfall oracle_id 6f0d94d9-64bb-4175-83bc-301e8f79f54f; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\2008-2016\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\ths\cards\TempleOfTriumph.kt,GENERATED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Generated/predictive definition; card-specific conformance remains unproven.,
Akiri,32,Boros Garrison,8fa3ac81-3dfe-4565-be99-5554f7597b4b,LAND,,0,RW,Land,Scryfall oracle_id 8fa3ac81-3dfe-4565-be99-5554f7597b4b; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\2003-2007\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\rav\cards\BorosGarrison.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,33,"Sunhome, Fortress of the Legion",a9f8344c-1705-4254-81d6-aa05e0c69c29,LAND,,0,RW,Land,Scryfall oracle_id a9f8344c-1705-4254-81d6-aa05e0c69c29; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\2003-2007\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\rav\cards\SunhomeFortressOfTheLegion.kt,GENERATED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Generated/predictive definition; card-specific conformance remains unproven.,
Akiri,34,Slayers' Stronghold,2de7367b-a5a4-43f4-8f8f-b931ea28150d,LAND,,0,RW,Land,Scryfall oracle_id 2de7367b-a5a4-43f4-8f8f-b931ea28150d; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\2008-2016\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\avr\cards\SlayersStronghold.kt,GENERATED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Generated/predictive definition; card-specific conformance remains unproven.,
Akiri,35,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found. Friendly replacement of Ideal slot card: Buried Ruin.,Buried Ruin
